,date,store,item,sales
730,2015-01-01,1,1,11
731,2015-01-02,1,1,19
732,2015-01-03,1,1,16
733,2015-01-04,1,1,14
734,2015-01-05,1,1,14
735,2015-01-06,1,1,9
736,2015-01-07,1,1,13
737,2015-01-08,1,1,18
738,2015-01-09,1,1,18
739,2015-01-10,1,1,17
740,2015-01-11,1,1,19
741,2015-01-12,1,1,9
742,2015-01-13,1,1,9
743,2015-01-14,1,1,15
744,2015-01-15,1,1,10
745,2015-01-16,1,1,15
746,2015-01-17,1,1,16
747,2015-01-18,1,1,15
748,2015-01-19,1,1,12
749,2015-01-20,1,1,12
750,2015-01-21,1,1,10
751,2015-01-22,1,1,8
752,2015-01-23,1,1,14
753,2015-01-24,1,1,20
754,2015-01-25,1,1,19
755,2015-01-26,1,1,12
756,2015-01-27,1,1,13
757,2015-01-28,1,1,13
758,2015-01-29,1,1,7
759,2015-01-30,1,1,12
760,2015-01-31,1,1,19
761,2015-02-01,1,1,17
762,2015-02-02,1,1,6
763,2015-02-03,1,1,10
764,2015-02-04,1,1,8
765,2015-02-05,1,1,18
766,2015-02-06,1,1,13
767,2015-02-07,1,1,13
768,2015-02-08,1,1,18
769,2015-02-09,1,1,12
770,2015-02-10,1,1,15
771,2015-02-11,1,1,19
772,2015-02-12,1,1,15
773,2015-02-13,1,1,13
774,2015-02-14,1,1,11
775,2015-02-15,1,1,18
776,2015-02-16,1,1,14
777,2015-02-17,1,1,16
778,2015-02-18,1,1,16
779,2015-02-19,1,1,11
780,2015-02-20,1,1,10
781,2015-02-21,1,1,19
782,2015-02-22,1,1,24
783,2015-02-23,1,1,9
784,2015-02-24,1,1,8
785,2015-02-25,1,1,13
786,2015-02-26,1,1,18
787,2015-02-27,1,1,17
788,2015-02-28,1,1,18
789,2015-03-01,1,1,18
790,2015-03-02,1,1,17
791,2015-03-03,1,1,14
792,2015-03-04,1,1,19
793,2015-03-05,1,1,10
794,2015-03-06,1,1,17
795,2015-03-07,1,1,16
796,2015-03-08,1,1,13
797,2015-03-09,1,1,13
798,2015-03-10,1,1,23
799,2015-03-11,1,1,21
800,2015-03-12,1,1,24
801,2015-03-13,1,1,25
802,2015-03-14,1,1,15
803,2015-03-15,1,1,20
804,2015-03-16,1,1,13
805,2015-03-17,1,1,15
806,2015-03-18,1,1,16
807,2015-03-19,1,1,17
808,2015-03-20,1,1,31
809,2015-03-21,1,1,25
810,2015-03-22,1,1,23
811,2015-03-23,1,1,16
812,2015-03-24,1,1,18
813,2015-03-25,1,1,13
814,2015-03-26,1,1,10
815,2015-03-27,1,1,16
816,2015-03-28,1,1,12
817,2015-03-29,1,1,25
818,2015-03-30,1,1,19
819,2015-03-31,1,1,18
820,2015-04-01,1,1,24
821,2015-04-02,1,1,20
822,2015-04-03,1,1,27
823,2015-04-04,1,1,26
824,2015-04-05,1,1,20
825,2015-04-06,1,1,20
826,2015-04-07,1,1,19
827,2015-04-08,1,1,17
828,2015-04-09,1,1,20
829,2015-04-10,1,1,24
830,2015-04-11,1,1,17
831,2015-04-12,1,1,21
832,2015-04-13,1,1,14
833,2015-04-14,1,1,26
834,2015-04-15,1,1,26
835,2015-04-16,1,1,20
836,2015-04-17,1,1,22
837,2015-04-18,1,1,23
838,2015-04-19,1,1,24
839,2015-04-20,1,1,17
840,2015-04-21,1,1,25
841,2015-04-22,1,1,19
842,2015-04-23,1,1,17
843,2015-04-24,1,1,11
844,2015-04-25,1,1,29
845,2015-04-26,1,1,30
846,2015-04-27,1,1,22
847,2015-04-28,1,1,27
848,2015-04-29,1,1,18
849,2015-04-30,1,1,27
850,2015-05-01,1,1,20
851,2015-05-02,1,1,22
852,2015-05-03,1,1,33
853,2015-05-04,1,1,14
854,2015-05-05,1,1,25
855,2015-05-06,1,1,13
856,2015-05-07,1,1,23
857,2015-05-08,1,1,22
858,2015-05-09,1,1,29
859,2015-05-10,1,1,29
860,2015-05-11,1,1,24
861,2015-05-12,1,1,21
862,2015-05-13,1,1,14
863,2015-05-14,1,1,17
864,2015-05-15,1,1,27
865,2015-05-16,1,1,31
866,2015-05-17,1,1,27
867,2015-05-18,1,1,11
868,2015-05-19,1,1,28
869,2015-05-20,1,1,17
870,2015-05-21,1,1,27
871,2015-05-22,1,1,22
872,2015-05-23,1,1,24
873,2015-05-24,1,1,27
874,2015-05-25,1,1,19
875,2015-05-26,1,1,19
876,2015-05-27,1,1,22
877,2015-05-28,1,1,23
878,2015-05-29,1,1,18
879,2015-05-30,1,1,36
880,2015-05-31,1,1,27
881,2015-06-01,1,1,23
882,2015-06-02,1,1,15
883,2015-06-03,1,1,23
884,2015-06-04,1,1,25
885,2015-06-05,1,1,18
886,2015-06-06,1,1,43
887,2015-06-07,1,1,22
888,2015-06-08,1,1,18
889,2015-06-09,1,1,19
890,2015-06-10,1,1,22
891,2015-06-11,1,1,29
892,2015-06-12,1,1,23
893,2015-06-13,1,1,28
894,2015-06-14,1,1,30
895,2015-06-15,1,1,19
896,2015-06-16,1,1,17
897,2015-06-17,1,1,28
898,2015-06-18,1,1,29
899,2015-06-19,1,1,20
900,2015-06-20,1,1,30
901,2015-06-21,1,1,34
902,2015-06-22,1,1,14
903,2015-06-23,1,1,27
904,2015-06-24,1,1,26
905,2015-06-25,1,1,21
906,2015-06-26,1,1,30
907,2015-06-27,1,1,31
908,2015-06-28,1,1,35
909,2015-06-29,1,1,26
910,2015-06-30,1,1,23
911,2015-07-01,1,1,21
912,2015-07-02,1,1,26
913,2015-07-03,1,1,30
914,2015-07-04,1,1,40
915,2015-07-05,1,1,30
916,2015-07-06,1,1,20
917,2015-07-07,1,1,24
918,2015-07-08,1,1,21
919,2015-07-09,1,1,33
920,2015-07-10,1,1,26
921,2015-07-11,1,1,30
922,2015-07-12,1,1,19
923,2015-07-13,1,1,22
924,2015-07-14,1,1,19
925,2015-07-15,1,1,20
926,2015-07-16,1,1,41
927,2015-07-17,1,1,31
928,2015-07-18,1,1,38
929,2015-07-19,1,1,38
930,2015-07-20,1,1,22
931,2015-07-21,1,1,29
932,2015-07-22,1,1,27
933,2015-07-23,1,1,17
934,2015-07-24,1,1,29
935,2015-07-25,1,1,34
936,2015-07-26,1,1,38
937,2015-07-27,1,1,13
938,2015-07-28,1,1,27
939,2015-07-29,1,1,26
940,2015-07-30,1,1,22
941,2015-07-31,1,1,29
942,2015-08-01,1,1,28
943,2015-08-02,1,1,19
944,2015-08-03,1,1,20
945,2015-08-04,1,1,26
946,2015-08-05,1,1,20
947,2015-08-06,1,1,25
948,2015-08-07,1,1,22
949,2015-08-08,1,1,19
950,2015-08-09,1,1,33
951,2015-08-10,1,1,14
